Seed Mass,A600,B520,C570,D600,E512,F395,G400,H380,J400,K510,L360,M340,N312,O310,P390,Q440,R410,S405,T395
125,,,,,,,,,,,,,1,4,,,,,
175,,,,,,,,,1,,,,3,4,,,,,
225,,,,,,,3,1,2,1,1,4,11,5,,1,,1,
275,,1,,5,4,2,9,6,14,2,5,9,22,19,3,2,2,2,
325,,6,,2,1,8,28,20,38,6,15,26,29,69,1,7,3,3,1
375,2,19,5,9,12,21,51,60,104,31,37,56,72,69,18,16,12,8,6
425,5,32,14,21,29,46,11,106,172,55,88,82,120,44,35,44,17,27,20
475,9,66,50,38,62,74,174,114,179,55,76,76,69,5,27,93,27,47,37
525,14,88,76,68,65,46,101,75,140,28,33,32,23,,13,80,19,37,39
575,21,100,58,77,57,28,44,33,53,6,13,9,5,,3,52,3,30,30
625,22,90,44,62,19,14,6,3,9,4,4,1,2,,4,10,,4,8
675,24,50,29,22,6,1,,,,,1,,,,2,,,,
725,23,19,5,3,,1,1,,,,,,,,,,,,
775,17,1,1,,,,5,,,,,,,,,,,,
825,6,3,,,,,,,,,,,,,,,,,
875,2,,,,,,,,,,,,,,,,,,
