Name,Year,Generation,Selection,ParentPop,ParentSize,mm34,mm37,mm40,mm43,mm46,mm49,mm52,mm55,mm58,mm61,mm64,mm67,mm70,mm73,mm76,mm79,mm82,mm85,mm88,mm91,mm94,mm97,mm100
No. 383,1911,P1,,,,,13,80,32,,,,,,,,,,,,,,,,,,,
No. 383,1912,P1,,,,1,4,28,16,,,,,,,,,,,,,,,,,,,
No. 383,1913,P1,,,,,4,32,1,,,,,,,,,,,,,,,,,,,
No. 330,1911,P2,,,,,,,,,,,,,,,,,,,,,,6,22,49,11,
No. 330,1912,P2,,,,,,,,,,,,,,,,,,,,,,2,16,32,6,1
No. 330,1913,P2,,,,,,,,,,,,,,,,,,,,,,5,7,10,2,
No. 383 x 330,1911,F1,,,,,,,,,,,4,10,41,75,40,3,,,,,,,,,,
No. (383 x 330) 1,1912,F2,Small,No. 383 x 330,61,,,,,,,1,5,16,23,18,62,37,25,16,4,2,2,,,,,
No. (383 x 330) 2,1912,F2,Large,No. 383 x 330,61,,,,,,,2,4,2,24,37,31,38,35,27,21,5,6,1,,,,
No. (383 x 330) 1-1,1913,F3,Large,No. (383 x 330) 1,72,,,,,,,,,,4,20,25,59,41,19,2,,,,,,,
No. (383 x 330) 1-2,1913,F3,Small,No. (383 x 330) 1,46,,,,1,4,26,44,38,22,7,1,,,,,,,,,,,,
No. (383 x 330) 1-3,1913,F3,Small,No. (383 x 330) 1,50,,,,6,20,53,49,15,4,,,,,,,,,,,,,,
No. (383 x 330) 1-4,1913,F3,Small,No. (383 x 330) 1,60,,,,2,3,9,25,37,70,19,10,,,,,,,,,,,,
No. (383 x 330) 2-1,1913,F3,Large,No. (383 x 330) 2,77,,,,,,1,0,1,1,1,2,16,33,43,34,20,6,1,,,,,
No. (383 x 330) 2-3,1913,F3,Large,No. (383 x 330) 2,81,,,,,,,,,,1,1,8,16,20,32,41,17,3,3,1,,,
No. (383 x 330) 2-4,1913,F3,Large,No. (383 x 330) 2,80,,,,,,,,,,2,8,14,21,39,39,32,10,1,,,,,
No. (383 x 330) 2-5,1913,F3,Small,No. (383 x 330) 2,50,,,,,7,25,55,55,18,,,,,,,,,,,,,,
No. (383 x 330) 2-6,1913,F3,Large,No. (383 x 330) 2,82,,,,,,,,,,,,3,5,12,20,40,41,30,9,2,,,
No. (383 x 330) 1-2-1,1914,F4,Small,No. (383 x 330) 1-2,44,,,8,42,95,38,1,,,,,,,,,,,,,,,,
No. (383 x 330) 1-3-1,1914,F4,Small,No. (383 x 330) 1-3,43,,,2,23,122,41,1,,,,,,,,,,,,,,,,
No. (383 x 330) 2-6-1,1914,F4,Large,No. (383 x 330) 2-6,85,,,,,,,,,,,,,,4,9,38,75,59,6,3,1,,
No. (383 x 330) 2-6-2,1914,F4,Large,No. (383 x 330) 2-6,87,,,,,,,,,,,,4,5,6,11,21,33,41,29,8,5,1,
No. (383 x 330) 1-3-1-1,1915,F5,Small,No. (383 x 330) 1-3-1,41,3,6,48,90,14,,,,,,,,,,,,,,,,,,
No. (383 x 330) 2-6-2-1,1915,F5,Large,No. (383 x 330) 2-6-2,90,,,,,,,,,,,,,,2,3,8,14,20,25,25,20,8,
