Year,Event,Nudge_y,Type
1973,CDC aquires lentil germplasm from USDA,0.25,R & D
1976,SPG formed,0.5,Industry
1978,Laird released - large green lentil,0.75,Variety
1980,Eston released - small green lentil,1,Variety
1982,Saskatchewan becomes 2nd largest lentil exporter,1.25,Industry
1984,SPG check-offs begin,1.5,Industry
1988,Indianhead released - small black lentil,1.75,Variety
1989,CDC Rose released - small red lentil,2,Variety
1992,CDC Gold released - low tannin lentil,2.25,Variety
1994,Saskatchewan becomes largest lentil exporter,2.5,Industry
1997,CDC Milestone released - Ascocyta resistant lentil,2.75,Variety
2005,Imidazolinone tolerance developed,3,R & D
2007,CDC Maxim released - IMI tolerant medium red lentil,3.25,Variety
2009,Saskatchewan becomes the largest lentil producer,3.5,Industry
2015,Lentil genome sequenced,3.75,R & D
