Year,Item,Unit,Value,,,,,,,
1901,Flour,5 lb.,0.13,,,,,,,
1918,Flour,5 lb.,0.34,,,,,,,
1934,Flour,5 lb.,0.25,,,,,,,
1950,Flour,5 lb.,0.49,,,,,,,
1960,Flour,5 lb.,0.55,,,,,,,
1970,Flour,5 lb.,0.59,,,,,,,
1984,Flour,5 lb.,1.07,,,,,,,
1996,Flour,5 lb.,1.44,,,,,,,
2003,Flour,5 lb.,1.56,,,,,,,
1901,Round stake,lb.,0.14,,,,,,,
1918,Round stake,lb.,0.37,,,,,,,
1934,Round stake,lb.,0.28,,,,,,,
1950,Round stake,lb.,0.94,,,,,,,
1960,Round stake,lb.,1.06,,,,,,,
1970,Round stake,lb.,1.3,,,,,,,
1984,Round stake,lb.,2.91,,,,,,,
1996,Round stake,lb.,3.12,,,,,,,
2003,Round stake,lb.,3.84,,,,,,,
1901,Pork chops,lb.,0.13,,,,,,,
1918,Pork chops,lb.,0.39,,,,,,,
1934,Pork chops,lb.,0.26,,,,,,,
1950,Pork chops,lb.,0.75,,,,,,,
1960,Pork chops,lb.,0.86,,,,,,,
1970,Pork chops,lb.,1.16,,,,,,,
1984,Pork chops,lb.,2.38,,,,,,,
1996,Pork chops,lb.,3.41,,,,,,,
2003,Pork chops,lb.,3.13,,,,,,,
1901,Bacon,lb.,0.16,,,,,,,
1918,Bacon,lb.,0.53,,,,,,,
1934,Bacon,lb.,0.29,,,,,,,
1950,Bacon,lb.,0.64,,,,,,,
1960,Bacon,lb.,0.66,,,,,,,
1970,Bacon,lb.,0.95,,,,,,,
1984,Bacon,lb.,1.86,,,,,,,
1996,Bacon,lb.,2.47,,,,,,,
2003,Bacon,lb.,3.2,,,,,,,
1901,Butter,lb.,0.27,,,,,,,
1918,Butter,lb.,0.58,,,,,,,
1934,Butter,lb.,0.32,,,,,,,
1950,Butter,lb.,0.73,,,,,,,
1960,Butter,lb.,0.75,,,,,,,
1970,Butter,lb.,0.87,,,,,,,
1984,Butter,lb.,2.11,,,,,,,
1996,Butter,lb.,2.05,,,,,,,
2003,Butter,lb.,2.81,,,,,,,
1901,Eggs,dozen,0.22,,,,,,,
1918,Eggs,dozen,0.57,,,,,,,
1934,Eggs,dozen,0.33,,,,,,,
1950,Eggs,dozen,0.6,,,,,,,
1960,Eggs,dozen,0.57,,,,,,,
1970,Eggs,dozen,0.61,,,,,,,
1984,Eggs,dozen,1,,,,,,,
1996,Eggs,dozen,1.11,,,,,,,
2003,Eggs,dozen,1.24,,,,,,,
1901,Milk,1/2 gallon,0.14,,,,,,,
1918,Milk,1/2 gallon,0.28,,,,,,,
1934,Milk,1/2 gallon,0.22,,,,,,,
1950,Milk,1/2 gallon,0.41,,,,,,,
1960,Milk,1/2 gallon,0.52,,,,,,,
1970,Milk,1/2 gallon,0.66,,,,,,,
1984,Milk,1/2 gallon,1.13,,,,,,,
1996,Milk,1/2 gallon,1.56,,,,,,,
2003,Milk,1/2 gallon,,,,,,,,
